,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2,Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Africa Eastern and Southern,AFE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126000000.0,127000000.0,132000000.0,136000000.0,133000000.0,146000000.0,149000000.0,155000000.0,161000000.0,167000000.0,177000000.0,195000000.0,189000000.0,192000000.0,227000000.0,617000000.0,615000000.0,583000000.0,574000000.0,685000000.0,686000000.0,677000000.0,662000000.0,546000000.0,690000000.0,800000000.0,885000000.0,1090000000.0,1022000000.0,1301000000.0,1390000000.0,1220000000.0,1624000000.0,1902000000.0,1866000000.0,1972000000.0,1972000000.0,2188000000.0,2463000000.0,2692000000.0,2762000000.0,3058000000.0,3669000000.0,7687000000.0,10926000000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Africa Western and Central,AFW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000000.0,38000000.0,38000000.0,39000000.0,39000000.0,39000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,43000000.0,43000000.0,43000000.0,47000000.0,52000000.0,53000000.0,53000000.0,54000000.0,55000000.0,54000000.0,55000000.0,56000000.0,57000000.0,60000000.0,70000000.0,78000000.0,66000000.0,162000000.0,177000000.0,827000000.0,254000000.0,254000000.0,213000000.0,222000000.0,219000000.0,196000000.0,222000000.0,233000000.0,280000000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Angola,AGO,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Andorra,AND,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Arab World,ARB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,3000000.0,3000000.0,27000000.0,227000000.0,459000000.0,436000000.0,613000000.0,775000000.0,808000000.0,846000000.0,1166000000.0,1262000000.0,1631000000.0,2515000000.0,2561000000.0,2436000000.0,3534000000.0,4457000000.0,5117000000.0,0.0,0.0,0.0,0.0,0.0,0.0
10,United Arab Emirates,ARE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,301000000.0,296000000.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Argentina,ARG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000000.0,74000000.0,57000000.0,58000000.0,62000000.0,57000000.0,61000000.0,61000000.0,93000000.0,96000000.0,84000000.0,109000000.0,150000000.0,95000000.0,116000000.0,107000000.0,108000000.0,121000000.0,119000000.0,107000000.0,100000000.0,102000000.0,107000000.0,120000000.0,117000000.0,363000000.0,461000000.0,498000000.0,571000000.0,708000000.0,672000000.0,941000000.0,1114000000.0,1247000000.0,1362000000.0,1728000000.0,1688000000.0,1618000000.0,1402000000.0,2220000000.0,2155000000.0,2752000000.0,2942000000.0,2719000000.0,2752000000.0,0.0,0.0,0.0,0.0,0.0,0.0
